*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:34
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                 Soil water content (mm3/mm3) by soil depth (cm):
!                                                                                                 0-5    5-15   15-30   30-60   60-90  90-120
@YEAR DOY   DAS  SWTD  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT    MWTD  TDFD  TDFC   ROFD    SW1D    SW2D    SW3D    SW4D    SW5D    SW6D    
 2010 270   121   281   142      0    441    999     0     0   120    0.00   0.0   0.0   0.00   0.198   0.234   0.236   0.237   0.235   0.236
 2010 271   122   281   142      0    441   1001     0     0   120    0.00   0.0   0.0   0.00   0.230   0.232   0.235   0.236   0.233   0.235
 2010 272   123   280   141      0    441   1003     0     0   120    0.00   0.0   0.0   0.00   0.234   0.232   0.233   0.235   0.232   0.234
 2010 273   124   276   137      0    441   1003     0     0   120    0.00   0.0   0.0   0.00   0.213   0.228   0.230   0.232   0.230   0.232
 2010 274   125   273   133      0    441   1003     0     0   120    0.00   0.0   0.0   0.00   0.195   0.225   0.227   0.230   0.228   0.230
 2010 275   126   278   139      0    441   1011     0     0   120    0.00   0.0   0.0   0.00   0.277   0.248   0.226   0.229   0.227   0.229
 2010 276   127   272   133      0    441   1011     0     0   120    0.00   0.0   0.0   0.00   0.240   0.240   0.225   0.225   0.224   0.225
 2010 277   128   268   129      0    441   1011     0     0   120    0.00   0.0   0.0   0.00   0.219   0.236   0.222   0.223   0.222   0.224
 2010 278   129   265   126      0    441   1011     0     0   120    0.00   0.0   0.0   0.00   0.200   0.233   0.219   0.221   0.220   0.222
 2010 279   130   263   124      0    441   1012     0     0   120    0.00   0.0   0.0   0.00   0.202   0.229   0.217   0.219   0.218   0.220
 2010 280   131   265   126      0    441   1017     0     0   120    0.00   0.0   0.0   0.00   0.253   0.241   0.215   0.218   0.217   0.219
 2010 281   132   265   126      0    441   1021     0     0   120    0.00   0.0   0.0   0.00   0.273   0.249   0.217   0.215   0.215   0.217
 2010 282   133   260   121      0    441   1021     0     0   120    0.00   0.0   0.0   0.00   0.240   0.241   0.216   0.212   0.212   0.214
 2010 283   134   256   117      0    441   1021     0     0   120    0.00   0.0   0.0   0.00   0.219   0.237   0.213   0.210   0.210   0.212
 2010 284   135   254   115      0    441   1021     0     0   120    0.00   0.0   0.0   0.00   0.201   0.234   0.211   0.209   0.209   0.211
