*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:34
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-30   30-60   60-90  90-120
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D    ES6D   TRWUD
 2010 256   107  17.33  31.00  19.25  4.352  1.883  2.463  4.346  1.883  2.463  0.000  0.000  530.76  435.69  225.88  209.81    0.00    0.00   0.635   0.460   0.370   0.445   0.311   0.243   0.188
 2010 257   108  17.93  29.50  21.50  4.413  1.906  2.497  4.404  1.906  2.497  0.000  0.000  535.17  440.09  227.78  212.31    0.00    0.00   0.681   0.470   0.369   0.436   0.303   0.239   0.191
 2010 258   109  24.78  29.50  20.50  6.187  2.658  3.501  6.159  2.658  3.501  0.000  0.000  541.36  446.25  230.44  215.81    0.00    0.00   0.947   0.660   0.535   0.630   0.414   0.315   0.266
 2010 259   110  17.58  34.50  18.50  4.555  1.967  2.578  4.545  1.967  2.578  0.000  0.000  545.91  450.79  232.41  218.39    0.00    0.00   0.625   0.474   0.405   0.492   0.329   0.252   0.197
 2010 260   111   9.33  30.75  21.50  2.327  1.002  1.317  2.319  1.002  1.317  0.000  0.000  548.24  453.11  233.41  219.70    0.00    0.00   0.334   0.239   0.201   0.243   0.169   0.131   0.100
 2010 261   112  15.41  28.50  19.20  3.735  1.610  2.114  3.724  1.610  2.114  0.000  0.000  551.97  456.84  235.02  221.82    0.00    0.00   0.529   0.380   0.321   0.393   0.275   0.216   0.161
 2010 262   113  21.32  31.00  20.50  5.283  2.272  2.990  5.262  2.272  2.990  0.000  0.000  557.26  462.10  237.29  224.81    0.00    0.00   0.763   0.535   0.450   0.551   0.386   0.304   0.227
 2010 263   114  20.99  31.50  19.50  5.220  2.250  2.954  5.204  2.250  2.954  0.000  0.000  562.48  467.30  239.54  227.76    0.00    0.00   0.807   0.526   0.434   0.527   0.369   0.290   0.225
 2010 264   115  23.85  31.50  19.50  5.993  2.583  3.392  5.975  2.583  3.392  0.000  0.000  568.47  473.28  242.13  231.15    0.00    0.00   0.866   0.610   0.512   0.623   0.437   0.344   0.258
 2010 265   116  24.12  32.00  19.50  5.984  2.581  3.387  5.968  2.581  3.387  0.000  0.000  574.45  479.25  244.71  234.54    0.00    0.00   0.915   0.630   0.501   0.598   0.417   0.326   0.258
 2010 266   117  23.18  32.50  20.00  5.945  2.559  3.364  5.923  2.559  3.364  0.000  0.000  580.40  485.17  247.27  237.90    0.00    0.00   0.868   0.625   0.506   0.609   0.425   0.332   0.256
