*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-30   30-53   53-77  77-100
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D    ES6D   TRWUD
 2008 198    89  20.50  31.00  22.30  5.063  3.920  1.105  5.025  3.920  1.105  0.000  0.000  395.15  313.10  168.54  144.55    0.00    0.00   0.314   0.232   0.182   0.158   0.123   0.097   0.392
 2008 199    90  18.10  31.00  23.00  4.484  3.477  0.979  3.307  2.329  0.979  0.000  0.000  399.63  316.41  170.87  145.53    0.00    0.00   0.286   0.204   0.160   0.137   0.107   0.084   0.233
 2008 200    91  11.20  28.00  22.80  2.696  2.079  0.603  2.682  2.079  0.603  0.000  0.000  402.33  319.09  172.95  146.14    0.00    0.00   0.177   0.128   0.100   0.083   0.065   0.051   0.208
 2008 201    92  16.40  31.10  23.10  4.081  3.141  0.913  4.055  3.141  0.913  0.000  0.000  406.41  323.14  176.09  147.05    0.00    0.00   0.268   0.190   0.155   0.126   0.098   0.077   0.314
 2008 202    93  11.30  25.90  22.00  2.637  2.025  0.590  2.616  2.025  0.590  0.000  0.000  409.05  325.76  178.12  147.64    0.00    0.00   0.179   0.122   0.098   0.079   0.062   0.049   0.203
 2008 203    94  15.40  31.20  23.10  3.844  2.966  0.860  3.826  2.966  0.860  0.000  0.000  412.89  329.58  181.08  148.50    0.00    0.00   0.261   0.186   0.145   0.114   0.086   0.068   0.297
 2008 204    95  10.80  31.00  23.00  2.687  2.070  0.601  2.671  2.070  0.601  0.000  0.000  415.58  332.26  183.15  149.10    0.00    0.00   0.169   0.128   0.106   0.087   0.062   0.049   0.207
 2008 205    96  17.70  32.20  22.60  4.440  3.414  0.994  4.408  3.414  0.994  0.000  0.000  420.02  336.66  186.57  150.09    0.00    0.00   0.274   0.209   0.173   0.151   0.104   0.082   0.341
 2008 206    97  19.10  30.20  22.80  4.693  3.615  1.050  4.665  3.615  1.050  0.000  0.000  424.71  341.33  190.18  151.15    0.00    0.00   0.877   0.116   0.035   0.014   0.006   0.003   0.362
 2008 207    98  13.60  28.20  23.30  3.280  2.500  0.762  3.263  2.500  0.762  0.000  0.000  427.99  344.59  192.68  151.91    0.00    0.00   0.205   0.159   0.136   0.123   0.080   0.060   0.250
 2008 208    99  12.10  31.50  22.80  3.034  2.274  0.738  3.012  2.274  0.738  0.000  0.000  431.02  347.60  194.96  152.65    0.00    0.00   0.202   0.151   0.129   0.123   0.078   0.055   0.227
 2008 209   100  10.60  31.20  22.40  2.641  1.944  0.677  2.621  1.944  0.677  0.000  0.000  433.66  350.22  196.90  153.32    0.00    0.00   0.179   0.136   0.116   0.114   0.080   0.052   0.194
