*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 2008 211   102   100  111.4   59.8   51.7   1.77   1.11  116.6   21.1   30.6    1.1   1.11   1.07    0.00    0.94
 2008 212   103   101  112.6   62.4   50.2   1.76   1.09  117.7   20.6   29.5    1.1   1.09   1.07    0.00    0.97
 2008 213   104   102  114.0   65.0   49.0   1.76   1.07  119.1   20.2   28.8    1.1   1.07   1.07    0.00    1.00
 2008 214   105   103  115.3   67.6   47.7   1.76   1.05  120.4   19.8   27.9    1.0   1.05   1.07    0.00    1.03
 2008 215   106   104  116.9   70.2   46.7   1.76   1.02  122.1   19.4   27.3    1.0   1.02   1.07    0.00    1.06
 2008 216   107   105  117.6   72.7   44.9   1.76   1.00  122.8   18.9   26.0    1.0   1.00   1.07    0.00    1.09
 2008 217   108   106  117.6   72.7   44.9   1.76   1.00  122.8   18.9   26.0    1.0   1.00   1.07    0.00    1.09
 2008 218   109   107  117.6   72.7   44.9   1.76   1.00  122.8   18.9   26.0    1.0   1.00   1.07    0.00    1.09
 2008 219   110   108  117.6   72.7   44.9   1.76   1.00  122.8   18.9   26.0    1.0   1.00   1.07    0.00    1.09
 2008 220   111   109  117.6   72.7   44.9   1.76   1.00  122.8   18.9   26.0    1.0   1.00   1.07    0.00    1.09
 2008 221   112   110  117.6   72.7   44.9   1.76   1.00  122.8   18.9   26.0    1.0   1.00   1.07    0.00    1.09
 2008 222   113   111  117.6   72.7   44.9   1.76   1.00  122.8   18.9   26.0    1.0   1.00   1.07    0.00    1.09
 2008 223   114   112  117.6   72.7   44.9   1.76   1.00  122.8   18.9   26.0    1.0   1.00   1.07    0.00    1.09
 2008 224   115   113  117.6   72.7   44.9   1.76   1.00  122.8   18.9   26.0    1.0   1.00   1.07    0.00    1.09
 2008 225   116   114  117.6   72.7   44.9   1.76   1.00  122.8   18.9   26.0    1.0   1.00   1.07    0.00    1.09
 2008 226   117   115  117.6   72.7   44.9   1.76   1.00  122.8   18.9   26.0    1.0   1.00   1.07    0.00    1.09
 2008 227   118   116  117.6   72.7   44.9   1.76   1.00  122.8   18.9   26.0    1.0   1.00   1.07    0.00    1.09
 2008 228   119   117  117.6   72.7   44.9   1.76   1.00  122.8   18.9   26.0    1.0   1.00   1.07    0.00    1.09
 2008 229   120   118  117.6   72.7   44.9   1.76   1.00  122.8   18.9   26.0    1.0   1.00   1.07    0.00    1.09
 2008 230   121   119  117.6   72.7   44.9   1.76   1.00  122.8   18.9   26.0    1.0   1.00   1.07    0.00    1.09
 2008 231   122   120  117.6   72.7   44.9   1.76   1.00  122.8   18.9   26.0    1.0   1.00   1.07    0.00    1.09
 2008 232   123   121  117.6   72.7   44.9   1.76   1.00  122.8   18.9   26.0    1.0   1.00   1.07    0.00    1.09
 2008 233   124   122  117.6   72.7   44.9   1.76   1.00  122.8   18.9   26.0    1.0   1.00   1.07    0.00    1.09
