*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                 Soil water content (mm3/mm3) by soil depth (cm):
!                                                                                                 0-5    5-15   15-30   30-53   53-77  77-100
@YEAR DOY   DAS  SWTD  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT    MWTD  TDFD  TDFC   ROFD    SW1D    SW2D    SW3D    SW4D    SW5D    SW6D    
 2008 233   124   276    21      0    137    543     0     0   100    0.00   0.0   0.0   0.00   0.196   0.264   0.275   0.284   0.287   0.278
 2008 234   125   274    19      0    137    543     0     0   100    0.00   0.0   0.0   0.00   0.184   0.262   0.274   0.283   0.286   0.278
 2008 235   126   273    18      0    137    543     0     0   100    0.00   0.0   0.0   0.00   0.174   0.261   0.273   0.282   0.285   0.277
 2008 236   127   271    16      0    137    543     0     0   100    0.00   0.0   0.0   0.00   0.165   0.259   0.272   0.281   0.284   0.277
 2008 237   128   274    19      0    137    547     0     0   100    0.00   0.0   0.0   0.00   0.244   0.257   0.271   0.280   0.283   0.276
 2008 238   129   273    18      0    137    547     0     0   100    0.00   0.0   0.0   0.00   0.228   0.256   0.270   0.279   0.282   0.276
 2008 239   130   271    16      0    137    547     0     0   100    0.00   0.0   0.0   0.00   0.214   0.255   0.269   0.278   0.281   0.275
 2008 240   131   280    25      0    137    557     0     0   100    0.00   0.0   0.0   0.00   0.352   0.275   0.268   0.277   0.281   0.275
 2008 241   132   288    33      0    137    569     0     0   100    0.00   0.0   0.0   0.00   0.349   0.349   0.283   0.276   0.280   0.274
 2008 242   133   291    36      0    137    575     0     0   100    0.00   0.0   0.0   0.00   0.369   0.343   0.301   0.275   0.279   0.273
 2008 243   134   288    33      0    137    575     0     0   100    0.00   0.0   0.0   0.00   0.330   0.325   0.309   0.274   0.278   0.273
 2008 244   135   307    52      0    137    597     0     0   100    0.00   0.0   0.0   0.00   0.367   0.368   0.359   0.300   0.277   0.272
 2008 245   136   303    48      0    137    598     0     0   100    0.00   0.0   0.0   0.00   0.337   0.341   0.342   0.315   0.276   0.271
 2008 246   137   304    49      0    137    602     0     0   100    0.00   0.0   0.0   0.00   0.357   0.336   0.334   0.320   0.276   0.271
 2008 247   138   301    46      0    137    602     0     0   100    0.00   0.0   0.0   0.00   0.329   0.328   0.329   0.320   0.275   0.270
 2008 248   139   298    43      0    137    602     0     0   100    0.00   0.0   0.0   0.00   0.303   0.323   0.325   0.319   0.275   0.270
 2008 249   140   294    39      0    137    602     0     0   100    0.00   0.0   0.0   0.00   0.280   0.316   0.319   0.316   0.275   0.270
 2008 250   141   291    36      0    137    602     0     0   100    0.00   0.0   0.0   0.00   0.260   0.310   0.315   0.314   0.274   0.270
 2008 251   142   288    33      0    137    602     0     0   100    0.00   0.0   0.0   0.00   0.243   0.304   0.309   0.310   0.274   0.270
 2008 252   143   284    29      0    137    602     0     0   100    0.00   0.0   0.0   0.00   0.227   0.297   0.302   0.305   0.274   0.269
 2008 253   144   281    26      0    137    602     0     0   100    0.00   0.0   0.0   0.00   0.212   0.292   0.297   0.302   0.273   0.269
 2008 254   145   279    24      0    137    602     0     0   100    0.00   0.0   0.0   0.00   0.200   0.287   0.293   0.299   0.273   0.269
 2008 255   146   276    21      0    137    602     0     0   100    0.00   0.0   0.0   0.00   0.188   0.284   0.290   0.296   0.272   0.268
 2008 256   147   274    19      0    137    602     0     0   100    0.00   0.0   0.0   0.00   0.177   0.281   0.288   0.294   0.271   0.268
