*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:32
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                 Soil water content (mm3/mm3) by soil depth (cm):
!                                                                                                 0-5    5-15   15-30   30-60   60-90  90-120
@YEAR DOY   DAS  SWTD  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT    MWTD  TDFD  TDFC   ROFD    SW1D    SW2D    SW3D    SW4D    SW5D    SW6D    
 2014 201    74   468   177      0     44    555     0     0   114    0.00   0.0   0.0   0.00   0.388   0.394   0.397   0.390   0.389   0.387
 2014 202    75   470   178      0     52    568     0     0   113    0.00   0.0   0.0   0.00   0.393   0.396   0.398   0.391   0.390   0.389
 2014 203    76   465   173      0     58    572     0     0   114    0.00   0.0   0.0   0.00   0.394   0.393   0.390   0.384   0.386   0.387
 2014 204    77   451   159      0     69    572     0     0   118    0.00   0.0   0.0   0.00   0.367   0.375   0.376   0.375   0.377   0.378
 2014 205    78   449   157      0     70    574     0     0   119    0.00   0.0   0.0   0.00   0.378   0.372   0.372   0.372   0.374   0.376
 2014 206    79   445   153      0     70    574     0     0   119    0.00   0.0   0.0   0.00   0.361   0.367   0.369   0.370   0.372   0.375
 2014 207    80   443   151      0     70    574     0     0   119    0.00   0.0   0.0   0.00   0.332   0.364   0.367   0.369   0.372   0.375
 2014 208    81   449   157      0     70    583     0     0   120    0.00   0.0   0.0   0.00   0.394   0.386   0.374   0.370   0.371   0.374
 2014 209    82   453   162      0     71    593     0     0   120    0.00   0.0   0.0   0.00   0.390   0.395   0.388   0.375   0.373   0.373
 2014 210    83   453   161      0     72    595     0     0   120    0.00   0.0   0.0   0.00   0.394   0.385   0.382   0.375   0.374   0.374
 2014 211    84   448   156      0     74    595     0     0   120    0.00   0.0   0.0   0.00   0.371   0.373   0.373   0.373   0.373   0.373
 2014 212    85   456   165      0     75    607     0     0   119    0.00   0.0   0.0   0.00   0.397   0.398   0.390   0.377   0.375   0.375
 2014 213    86   466   175      0     78    623     0     0   117    0.00   0.0   0.0   0.00   0.397   0.398   0.399   0.391   0.385   0.381
 2014 214    87   452   160      0     90    623     0     0   119    0.00   0.0   0.0   0.00   0.371   0.377   0.380   0.378   0.376   0.375
 2014 215    88   450   159      0     91    627     0     0   119    0.00   0.0   0.0   0.00   0.391   0.377   0.375   0.374   0.374   0.375
 2014 216    89   446   155      0     92    627     0     0   120    0.00   0.0   0.0   0.00   0.369   0.369   0.371   0.371   0.373   0.374
 2014 217    90   448   157      0     92    632     0     0   120    0.00   0.0   0.0   0.00   0.395   0.380   0.373   0.372   0.371   0.373
 2014 218    91   447   156      0     92    635     0     0   120    0.00   0.0   0.0   0.00   0.394   0.378   0.373   0.372   0.369   0.372
 2014 219    92   459   168      0     93    653     0     0   119    0.00   0.0   0.0   0.00   0.391   0.395   0.397   0.384   0.378   0.375
 2014 220    93   460   168      0     96    658     0     0   118    0.00   0.0   0.0   0.00   0.397   0.396   0.390   0.381   0.380   0.378
 2014 221    94   454   163      0     99    660     0     0   118    0.00   0.0   0.0   0.00   0.385   0.382   0.381   0.377   0.378   0.378
 2014 222    95   447   155      0    103    660     0     0   120    0.00   0.0   0.0   0.00   0.367   0.371   0.372   0.372   0.373   0.374
 2014 223    96   458   166      0    104    677     0     0   119    0.00   0.0   0.0   0.00   0.393   0.396   0.397   0.379   0.376   0.375
 2014 224    97   457   165      0    106    679     0     0   118    0.00   0.0   0.0   0.00   0.401   0.388   0.388   0.379   0.378   0.377
 2014 225    98   466   174      0    111    697     0     0   116    0.00   0.0   0.0   0.00   0.392   0.395   0.397   0.390   0.385   0.382
 2014 226    99   469   177      0    118    713     0     0   114    0.00   0.0   0.0   0.00   0.390   0.394   0.396   0.394   0.390   0.386
