*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:34
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                    NO3 (ppm) by soil depth (cm):                   NH4 (ppm) by soil depth (cm):
!                                                     0-5    5-15   15-30   30-53   53-77  77-100     0-5    5-15   15-30   30-53   53-77  77-100
@YEAR DOY   DAS  NAPC  NI#M    NIAD   NITD   NHTD    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM    NLCC    TDFC
 2009 177    74    80     4   142.3  133.6    8.7    7.10   11.55   15.19   10.28    6.80    5.25    2.36    1.63    1.17    0.16    0.18    0.19  131.94  166.74    0.08   43.60    0.00   88.33   42.21   21.10    0.00
 2009 178    75    80     4   142.1  133.1    9.0    7.79   11.31   14.75   10.25    6.87    5.30    2.43    1.72    1.21    0.17    0.19    0.20  134.01  167.70    0.15   44.39    0.00   89.62   42.21   22.50    0.00
 2009 179    76    80     4   143.1  134.2    8.9    6.31   11.21   14.96   10.58    7.01    5.37    2.28    1.67    1.25    0.17    0.19    0.20  136.11  169.08    0.17   45.17    0.00   90.94   42.21   22.77    0.00
 2009 180    77    80     4   143.8  134.6    9.2    6.64   10.78   14.73   10.74    7.15    5.44    2.37    1.76    1.29    0.17    0.20    0.21  137.99  169.93    0.27   45.87    0.00   92.11   42.21   23.10    0.00
 2009 181    78    80     4   144.7  135.2    9.5    7.41   10.76   14.58   10.75    7.21    5.49    2.43    1.83    1.32    0.17    0.20    0.21  139.97  170.91    0.36   46.60    0.00   93.36   42.21   23.40    0.00
 2009 182    79    80     4   146.0  136.6    9.4    8.78   11.10   14.58   10.71    7.20    5.50    2.28    1.76    1.35    0.17    0.20    0.21  141.99  172.31    0.38   47.35    0.00   94.64   42.21   23.40    0.00
 2009 183    80    80     4   147.2  138.2    8.9   10.19   11.42   14.67   10.67    7.20    5.51    2.14    1.67    1.27    0.16    0.20    0.22  143.91  173.95    0.39   48.06    0.00   95.85   42.21   23.40    0.00
 2009 184    81    80     4   148.3  140.0    8.3   11.97   11.74   14.71   10.61    7.20    5.53    1.97    1.56    1.18    0.15    0.19    0.20  145.73  175.73    0.39   48.73    0.00   97.00   42.21   23.40    0.00
 2009 185    82    80     4   149.4  141.7    7.7   12.56   12.01   14.94   10.64    7.24    5.57    1.78    1.44    1.09    0.14    0.18    0.19  147.46  177.44    0.39   49.37    0.00   98.09   42.21   23.40    0.00
 2009 186    83    80     4   150.4  143.3    7.1   13.12   12.27   15.15   10.67    7.27    5.61    1.58    1.33    1.01    0.13    0.17    0.18  149.12  179.07    0.39   50.00    0.00   99.12   42.21   23.40    0.00
 2009 187    84    80     4   151.4  144.9    6.5   13.64   12.51   15.35   10.69    7.31    5.65    1.38    1.22    0.94    0.13    0.16    0.17  150.68  180.60    0.39   50.59    0.00  100.09   42.21   23.40    0.00
 2009 188    85    80     4   152.4  146.3    6.1   14.14   12.73   15.54   10.72    7.34    5.68    1.35    1.12    0.87    0.12    0.15    0.16  152.28  182.03    0.39   51.19    0.00  101.10   42.21   23.40    0.00
 2009 189    86    80     4   152.3  146.6    5.7   14.54   12.82   15.58   10.66    7.32    5.69    1.27    1.04    0.81    0.11    0.14    0.16  153.73  183.29    0.39   51.73    0.00  102.00   43.20   23.40    0.00
 2009 190    87    80     4   152.7  147.3    5.5   14.93   12.93   15.67   10.64    7.33    5.70    1.25    0.97    0.76    0.11    0.14    0.15  155.11  184.44    0.39   52.24    0.00  102.87   43.64   23.40    0.00
 2009 191    88    80     4   153.0  147.8    5.2   15.05   13.15   15.74   10.62    7.33    5.72    1.23    0.90    0.72    0.11    0.13    0.15  156.41  185.49    0.39   52.73    0.00  103.69   44.16   23.40    0.00
 2009 192    89    80     4   153.2  148.1    5.1   15.39   13.20   15.78   10.59    7.32    5.73    1.26    0.86    0.68    0.10    0.13    0.15  157.70  186.45    0.39   53.19    0.00  104.50   44.82   23.40    0.00
 2009 193    90    80     4   153.3  148.4    4.9   15.74   13.24   15.81   10.56    7.32    5.73    1.24    0.81    0.66    0.10    0.13    0.14  158.86  187.35    0.39   53.62    0.00  105.23   45.44   23.40    0.00
 2009 194    91    80     4   153.2  148.5    4.7   16.11   13.26   15.81   10.51    7.30    5.74    1.19    0.77    0.63    0.10    0.12    0.14  159.96  188.23    0.39   54.03    0.00  105.92   46.23   23.40    0.00
 2009 195    92    80     4   152.9  148.5    4.5   16.52   13.27   15.80   10.45    7.28    5.73    1.11    0.73    0.60    0.09    0.12    0.14  161.00  189.09    0.39   54.42    0.00  106.58   47.12   23.40    0.00
 2009 196    93    80     4   153.2  148.9    4.2   16.92   13.31   15.84   10.43    7.28    5.75    1.02    0.68    0.57    0.09    0.12    0.14  162.00  189.94    0.39   54.80    0.00  107.20   47.54   23.40    0.00
 2009 197    94    80     4   152.7  148.7    4.0   17.32   13.31   15.80   10.36    7.24    5.74    0.90    0.63    0.54    0.09    0.11    0.13  162.97  190.79    0.39   55.16    0.00  107.80   48.56   23.40    0.00
 2009 198    95    80     4   152.9  149.1    3.8   17.69   13.36   15.84   10.33    7.25    5.75    0.79    0.59    0.52    0.09    0.11    0.13  163.89  191.60    0.39   55.51    0.00  108.38   48.96   23.40    0.00
 2009 199    96    80     4   153.3  149.7    3.5   18.05   13.41   15.90   10.33    7.26    5.77    0.67    0.55    0.50    0.08    0.11    0.13  164.76  192.36    0.39   55.84    0.00  108.91   49.13   23.40    0.00
 2009 200    97    80     4   153.8  150.4    3.3   18.37   13.46   15.98   10.35    7.28    5.80    0.56    0.51    0.48    0.08    0.11    0.13  165.57  193.07    0.39   56.15    0.00  109.41   49.13   23.40    0.00
 2009 201    98    80     4   153.7  150.6    3.1   18.68   13.48   16.00   10.31    7.27    5.80    0.45    0.47    0.45    0.08    0.10    0.12  166.34  193.75    0.39   56.45    0.00  109.88   49.64   23.40    0.00
 2009 202    99    80     4   154.0  151.1    2.9   18.97   13.51   16.05   10.31    7.28    5.82    0.37    0.43    0.44    0.08    0.10    0.12  167.08  194.39    0.39   56.74    0.00  110.34   49.83   23.40    0.00
 2009 203   100    80     4   154.4  151.7    2.8   19.24   13.54   16.12   10.32    7.30    5.84    0.30    0.40    0.42    0.07    0.10    0.12  167.79  194.99    0.39   57.02    0.00  110.78   49.83   23.40    0.00
 2009 204   101    80     4   154.5  151.8    2.6   19.49   13.55   16.14   10.30    7.30    5.85    0.25    0.36    0.40    0.07    0.10    0.12  168.49  195.57    0.39   57.29    0.00  111.21   50.22   23.40    0.00
 2009 205   102    80     4   154.9  152.4    2.5   15.89   15.50   16.21   10.31    7.31    5.88    0.21    0.33    0.38    0.07    0.10    0.12  169.18  196.12    0.39   57.55    0.00  111.63   50.22   23.40    0.00
 2009 206   103    80     4   155.5  152.8    2.7   15.78   15.66   16.26   10.31    7.33    5.90    0.50    0.35    0.37    0.07    0.09    0.12  170.27  196.64    0.39   57.93    0.00  112.34   50.32   23.40    0.00
 2009 207   104    80     4   155.7  152.9    2.8   17.25   15.56   16.08   10.23    7.30    5.89    0.68    0.37    0.35    0.07    0.09    0.11  171.29  197.20    0.39   58.28    0.00  113.01   50.77   23.40    0.00
 2009 208   105    80     4   156.0  153.1    2.8   17.55   15.53   16.10   10.21    7.30    5.90    0.78    0.38    0.34    0.07    0.09    0.11  172.22  197.76    0.39   58.60    0.00  113.62   51.14   23.40    0.00
 2009 209   106    80     4   156.3  153.5    2.8   17.91   15.52   16.13   10.20    7.30    5.92    0.82    0.38    0.32    0.06    0.09    0.11  173.05  198.31    0.39   58.89    0.00  114.16   51.32   23.40    0.00
 2009 210   107    80     4   156.6  153.8    2.8   18.27   15.50   16.15   10.19    7.31    5.93    0.82    0.38    0.31    0.06    0.09    0.11  173.80  198.83    0.39   59.15    0.00  114.64   51.50   23.40    0.00
 2009 211   108    80     4   156.7  154.0    2.7   18.63   15.47   16.15   10.17    7.30    5.93    0.79    0.37    0.31    0.06    0.09    0.11  174.47  199.33    0.39   59.39    0.00  115.08   51.86   23.40    0.00
 2009 212   109    80     4   157.1  154.5    2.6   18.99   15.47   16.19   10.18    7.32    5.95    0.74    0.36    0.30    0.06    0.09    0.11  175.09  199.81    0.39   59.61    0.00  115.48   51.86   23.40    0.00
 2009 213   110    80     4   157.5  154.9    2.5   16.42   16.93   16.22   10.18    7.33    5.97    0.68    0.35    0.29    0.06    0.09    0.11  175.67  200.28    0.39   59.82    0.00  115.85   51.86   23.40    0.00
 2009 214   111    80     4   158.1  155.3    2.7   16.38   17.08   16.25   10.19    7.35    5.99    0.87    0.38    0.28    0.06    0.09    0.11  176.56  200.70    0.39   60.12    0.00  116.44   51.86   23.40    0.00
