*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:35
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-30   30-53   53-77  77-100
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D    ES6D   TRWUD
 2014 347    67  22.10  31.80  16.90  5.181  4.825  0.350  5.175  4.825  0.350  0.000  0.000  252.76  205.96  105.57  100.39    0.00    0.00   0.300   0.035   0.007   0.004   0.002   0.001   0.483
 2014 348    68  17.47  29.50  18.20  4.025  3.760  0.260  4.020  3.760  0.260  0.000  0.000  256.79  209.98  109.33  100.65    0.00    0.00   0.220   0.027   0.006   0.004   0.002   0.001   0.376
 2014 349    69  18.03  29.50  17.30  4.122  3.859  0.257  4.116  3.859  0.257  0.000  0.000  260.91  214.10  113.19  100.91    0.00    0.00   0.214   0.028   0.007   0.004   0.002   0.001   0.386
 2014 350    70  14.29  28.50  17.20  3.226  3.024  0.196  3.219  3.024  0.196  0.000  0.000  264.13  217.32  116.21  101.11    0.00    0.00   0.162   0.022   0.006   0.004   0.002   0.001   0.302
 2014 351    71  15.25  29.70  17.40  3.494  3.277  0.208  3.485  3.277  0.208  0.000  0.000  267.63  220.80  119.49  101.31    0.00    0.00   0.173   0.022   0.006   0.004   0.002   0.001   0.328
 2014 352    72  14.92  28.40  16.90  3.356  3.153  0.196  3.349  3.153  0.196  0.000  0.000  270.98  224.15  122.64  101.51    0.00    0.00   0.164   0.021   0.006   0.003   0.002   0.001   0.315
 2014 353    73  19.81  30.30  15.90  4.518  4.250  0.260  4.510  4.250  0.260  0.000  0.000  275.50  228.66  126.89  101.77    0.00    0.00   0.215   0.028   0.008   0.005   0.002   0.001   0.425
 2014 354    74  17.56  29.40  17.10  3.999  3.762  0.227  3.989  3.762  0.227  0.000  0.000  279.50  232.65  130.65  102.00    0.00    0.00   0.200   0.017   0.005   0.003   0.001   0.001   0.376
 2014 355    75  17.84  28.70  17.10  4.049  3.816  0.226  4.042  3.816  0.226  0.000  0.000  283.55  236.69  134.47  102.22    0.00    0.00   0.084   0.036   0.026   0.032   0.026   0.022   0.382
 2014 356    76  12.77  28.60  18.70  2.924  2.760  0.161  2.921  2.760  0.161  0.000  0.000  286.47  239.61  137.23  102.38    0.00    0.00   0.143   0.012   0.003   0.002   0.001   0.000   0.276
 2014 357    77  12.98  28.40  16.80  2.920  2.757  0.160  2.917  2.757  0.160  0.000  0.000  289.39  242.53  139.98  102.54    0.00    0.00   0.138   0.015   0.004   0.002   0.001   0.001   0.276
 2014 358    78  11.02  28.20  18.10  2.496  2.352  0.139  2.491  2.352  0.139  0.000  0.000  291.89  245.02  142.34  102.68    0.00    0.00   0.117   0.014   0.004   0.002   0.001   0.001   0.235
 2014 359    79   5.87  25.20  17.80  1.281  1.207  0.073  1.280  1.207  0.073  0.000  0.000  293.17  246.30  143.54  102.76    0.00    0.00   0.063   0.006   0.002   0.001   0.000   0.000   0.121
 2014 360    80  12.06  29.60  17.10  2.757  2.595  0.159  2.754  2.595  0.159  0.000  0.000  295.93  249.05  146.14  102.91    0.00    0.00   0.140   0.012   0.003   0.002   0.001   0.000   0.260
 2014 361    81  20.78  31.30  17.40  4.844  4.550  0.281  3.759  3.477  0.281  0.000  0.000  300.77  252.81  149.62  103.20    0.00    0.00   0.236   0.030   0.008   0.005   0.002   0.001   0.348
 2014 362    82  16.08  30.60  17.90  3.731  3.499  0.224  2.594  2.370  0.224  0.000  0.000  304.50  255.41  151.99  103.42    0.00    0.00   0.185   0.025   0.007   0.004   0.002   0.001   0.237
 2014 363    83  17.36  30.40  17.20  3.997  3.738  0.251  2.054  1.803  0.251  0.000  0.000  308.50  257.46  153.79  103.67    0.00    0.00   0.206   0.029   0.008   0.005   0.002   0.001   0.180
 2014 364    84  12.90  30.10  18.30  2.983  2.776  0.201  1.682  1.481  0.201  0.000  0.000  311.48  259.14  155.27  103.87    0.00    0.00   0.163   0.024   0.007   0.004   0.002   0.001   0.148
 2014 365    85  16.75  30.30  18.20  3.878  3.593  0.279  1.488  1.259  0.229  0.000  0.000  315.36  260.63  156.53  104.10    0.00    0.00   0.186   0.028   0.008   0.004   0.002   0.001   0.126
 2015 001    86  15.30  29.30  18.30  3.505  3.225  0.274  1.315  1.094  0.221  0.000  0.000  318.86  261.95  157.62  104.32    0.00    0.00   0.179   0.027   0.008   0.004   0.002   0.001   0.109
 2015 002    87  19.60  31.30  17.30  4.555  4.157  0.388  1.082  0.878  0.204  0.000  0.000  323.42  263.03  158.50  104.53    0.00    0.00   0.163   0.026   0.008   0.004   0.002   0.001   0.088
 2015 003    88  17.84  31.80  17.70  4.178  3.779  0.391  0.852  0.662  0.190  0.000  0.000  327.60  263.88  159.16  104.72    0.00    0.00   0.149   0.026   0.008   0.004   0.002   0.001   0.066
 2015 004    89  17.73  31.30  16.80  4.100  3.669  0.423  0.897  0.600  0.296  0.000  0.000  331.70  264.78  159.76  105.01    0.00    0.00   0.256   0.026   0.008   0.004   0.002   0.001   0.060
 2015 005    90  16.75  31.10  17.40  3.902  3.453  0.443  2.288  1.894  0.393  0.000  0.000  335.60  267.06  161.66  105.41    0.00    0.00   0.353   0.025   0.008   0.004   0.002   0.001   0.189
 2015 006    91   7.35  25.90  19.40  1.633  1.437  0.194  0.715  0.521  0.194  0.000  0.000  337.23  267.78  162.18  105.60    0.00    0.00   0.163   0.020   0.006   0.003   0.001   0.001   0.052
 2015 007    92  15.95  30.20  17.40  3.662  3.190  0.465  0.717  0.483  0.234  0.000  0.000  340.89  268.50  162.66  105.83    0.00    0.00   0.195   0.025   0.008   0.004   0.002   0.001   0.048
 2015 008    93  16.45  30.40  17.40  3.782  3.252  0.525  0.667  0.449  0.218  0.000  0.000  344.68  269.16  163.11  106.05    0.00    0.00   0.178   0.025   0.008   0.004   0.002   0.001   0.045
 2015 009    94  12.24  30.10  17.80  2.810  2.381  0.424  0.622  0.420  0.202  0.000  0.000  347.49  269.79  163.53  106.25    0.00    0.00   0.163   0.025   0.008   0.004   0.002   0.001   0.042
 2015 010    95  17.05  31.80  18.40  4.001  3.338  0.653  0.844  0.395  0.449  0.000  0.000  351.49  270.63  163.93  106.70    0.00    0.00   0.407   0.028   0.008   0.004   0.002   0.001   0.039
 2015 011    96   9.57  26.80  17.50  2.153  1.769  0.381  2.150  1.769  0.381  0.000  0.000  353.64  272.78  165.70  107.08    0.00    0.00   0.196   0.071   0.030   0.034   0.028   0.022   0.177
 2015 012    97  11.75  28.10  17.10  2.713  2.232  0.480  2.712  2.232  0.480  0.000  0.000  356.35  275.49  167.93  107.56    0.00    0.00   0.224   0.118   0.041   0.039   0.032   0.025   0.223
 2015 013    98  12.47  29.30  19.20  2.941  2.418  0.520  2.939  2.418  0.520  0.000  0.000  359.30  278.43  170.35  108.08    0.00    0.00   0.206   0.136   0.061   0.048   0.038   0.031   0.242
 2015 014    99  17.11  30.80  18.20  4.036  3.317  0.714  4.031  3.317  0.714  0.000  0.000  363.33  282.46  173.66  108.80    0.00    0.00   0.266   0.178   0.096   0.071   0.057   0.046   0.332
