*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 2009 267   111   104   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 268   112   105   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 269   113   106   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 270   114   107   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 271   115   108   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 272   116   109   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 273   117   110   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 274   118   111   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 275   119   112   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 276   120   113   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 277   121   114   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 278   122   115   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 279   123   116   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 280   124   117   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 281   125   118   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 282   126   119   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 283   127   120   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 284   128   121   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 285   129   122   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 286   130   123   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 287   131   124   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 288   132   125   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 289   133   126   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 290   134   127   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 291   135   128   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 292   136   129   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 293   137   130   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 294   138   131   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 295   139   132   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 296   140   133   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 297   141   134   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 298   142   135   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 299   143   136   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 300   144   137   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 301   145   138   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 302   146   139   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 303   147   140   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 304   148   141   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 305   149   142   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 306   150   143   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 307   151   144   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
 2009 308   152   145   65.6   36.9   28.7   1.72   1.01   73.3   10.6   18.1    1.0   1.01   1.06    0.00    0.82
