*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 2014 274   100    89   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 275   101    90   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 276   102    91   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 277   103    92   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 278   104    93   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 279   105    94   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 280   106    95   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 281   107    96   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 282   108    97   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 283   109    98   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 284   110    99   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 285   111   100   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 286   112   101   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 287   113   102   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 288   114   103   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 289   115   104   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 290   116   105   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 291   117   106   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 292   118   107   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 293   119   108   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 294   120   109   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 295   121   110   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 296   122   111   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 297   123   112   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 298   124   113   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 299   125   114   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 300   126   115   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 301   127   116   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
 2014 302   128   117   57.4   22.5   35.0   1.77   1.43   58.1   15.8   19.2    1.4   1.43   0.62    0.00    0.17
