*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                    NO3 (ppm) by soil depth (cm):           NH4 (ppm) by soil depth (cm):
!                                                     0-5    5-15   15-30   30-45   45-60     0-5    5-15   15-30   30-45   45-60
@YEAR DOY   DAS  NAPC  NI#M    NIAD   NITD   NHTD    NI1D    NI2D    NI3D    NI4D    NI5D    NH1D    NH2D    NH3D    NH4D    NH5D    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM    NLCC    TDFC
 2014 236    62     0     1    46.8   39.7    7.1    1.40    2.22    4.34    6.39    6.21    1.74    1.76    1.56    0.04    0.02   73.93   58.04    0.00    9.70    0.00   64.23   54.26    0.00    0.00
 2014 237    63     0     1    46.8   39.5    7.3    1.85    2.50    4.39    5.91    6.25    1.72    1.75    1.66    0.05    0.03   75.93   59.44    0.01    9.91    0.00   66.03   55.98    0.00    0.00
 2014 238    64     0     1    46.4   39.2    7.3    1.19    2.24    4.38    5.76    6.63    1.65    1.70    1.68    0.05    0.04   77.83   60.93    0.01   10.11    0.00   67.73   58.07    0.00    0.00
 2014 239    65     0     1    44.7   37.0    7.7    1.32    2.21    4.15    5.26    6.29    1.75    1.79    1.80    0.06    0.04   79.52   61.99    0.01   10.28    0.00   69.24   58.07    3.24    0.00
 2014 240    66     0     1    46.4   38.4    7.9    1.79    2.52    4.45    5.23    6.36    1.77    1.83    1.86    0.06    0.05   81.48   63.52    0.01   10.49    0.00   70.99   58.07    3.32    0.00
 2014 241    67     0     1    48.1   40.2    7.9    2.42    2.94    4.83    5.21    6.34    1.73    1.80    1.87    0.06    0.05   83.41   65.28    0.01   10.69    0.00   72.72   58.07    3.32    0.00
 2014 242    68     0     1    49.7   42.0    7.7    2.86    3.34    5.25    5.22    6.35    1.64    1.75    1.85    0.06    0.05   85.23   67.09    0.01   10.89    0.00   74.34   58.07    3.32    0.00
 2014 243    69     0     1    51.2   43.8    7.4    2.01    3.93    5.97    5.24    6.36    1.51    1.68    1.79    0.06    0.05   86.93   68.87    0.01   11.09    0.00   75.84   58.07    3.32    0.00
 2014 244    70     0     1    52.4   45.0    7.5    1.23    3.05    6.05    6.04    6.88    1.61    1.70    1.77    0.06    0.05   88.84   70.52    0.01   11.32    0.00   77.53   58.07    3.78    0.00
 2014 245    71     0     1    52.9   45.1    7.7    1.53    3.05    5.85    6.04    7.04    1.69    1.76    1.83    0.06    0.06   90.62   71.80    0.01   11.53    0.00   79.10   58.07    4.92    0.00
 2014 246    72     0     1    53.4   45.5    7.8    1.80    3.26    5.92    5.96    7.02    1.70    1.78    1.86    0.07    0.06   92.49   73.35    0.01   11.74    0.00   80.74   58.07    6.07    0.00
 2014 247    73     0     1    53.7   45.8    7.8    2.24    3.57    6.12    5.80    6.78    1.72    1.77    1.86    0.07    0.06   94.42   75.06    0.01   11.97    0.00   82.45   58.07    7.45    0.00
 2014 248    74     0     1    53.6   46.0    7.6    1.42    2.72    5.95    6.44    7.21    1.67    1.71    1.81    0.07    0.06   96.31   76.93    0.01   12.20    0.00   84.12   58.07    9.21    0.00
 2014 249    75     0     1    52.3   44.4    7.9    1.17    2.56    5.48    6.28    7.29    1.73    1.77    1.87    0.07    0.06   97.91   78.08    0.01   12.38    0.00   85.52   58.07   11.88    0.00
 2014 250    76     0     1    49.3   41.2    8.1    1.50    2.59    5.12    5.68    6.60    1.78    1.81    1.90    0.07    0.06   99.59   79.42    0.01   12.58    0.00   87.01   58.07   16.42    0.00
