*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-30   30-45   45-60
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D   TRWUD
 2014 250    76  17.20  29.10  26.00  4.307  2.816  1.467  4.283  2.816  1.467  0.000  0.000  339.86  210.18  116.11   94.07    0.00    0.00   0.464   0.350   0.292   0.203   0.158   0.282
 2014 251    77  21.80  32.40  23.90  5.522  3.573  1.919  5.491  3.573  1.919  0.000  0.000  345.38  215.67  119.68   95.99    0.00    0.00   0.597   0.455   0.385   0.270   0.212   0.357
 2014 252    78  19.80  33.20  23.40  5.019  3.206  1.787  4.993  3.206  1.787  0.000  0.000  350.40  220.66  122.89   97.77    0.00    0.00   0.573   0.433   0.354   0.241   0.186   0.321
 2014 253    79   9.40  28.50  22.80  2.292  1.440  0.839  2.279  1.440  0.839  0.000  0.000  352.69  222.94  124.33   98.61    0.00    0.00   0.275   0.204   0.166   0.110   0.083   0.144
 2014 254    80  22.30  33.60  23.50  5.784  3.577  2.177  5.754  3.577  2.177  0.000  0.000  358.47  228.70  127.91  100.79    0.00    0.00   0.691   0.519   0.437   0.299   0.232   0.358
 2014 255    81  13.10  32.60  23.40  3.323  2.009  1.297  3.306  2.009  1.297  0.000  0.000  361.80  232.00  129.92  102.09    0.00    0.00   0.428   0.308   0.252   0.174   0.135   0.201
 2014 256    82  24.60  33.00  24.90  6.418  3.779  2.607  6.387  3.779  2.607  0.000  0.000  368.21  238.39  133.70  104.69    0.00    0.00   0.881   0.628   0.498   0.339   0.261   0.378
 2014 257    83  10.30  34.40  23.10  2.691  1.532  1.146  2.678  1.532  1.146  0.000  0.000  370.90  241.07  135.23  105.84    0.00    0.00   0.378   0.279   0.221   0.151   0.116   0.153
 2014 258    84  23.50  32.50  25.50  6.155  3.367  2.760  6.127  3.367  2.760  0.000  0.000  377.06  247.19  138.60  108.60    0.00    0.00   0.929   0.653   0.527   0.366   0.284   0.337
 2014 259    85  12.20  31.60  23.30  3.116  1.621  1.481  3.102  1.621  1.481  0.000  0.000  380.18  250.30  140.22  110.08    0.00    0.00   0.480   0.348   0.290   0.203   0.160   0.162
 2014 260    86  11.40  27.80  24.20  2.832  1.391  1.428  2.819  1.391  1.428  0.000  0.000  383.01  253.12  141.61  111.51    0.00    0.00   0.461   0.326   0.279   0.201   0.162   0.139
