*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
@YEAR DOY   DAS   PRED  DAYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D   VPDF   VPD
 2014 271    97    0.2   11.9   12.8   23.8   47.6   0.15   32.7   23.0   27.6   29.6   16.4   27.6   29.6  135.4  399.0   0.00   0.00
 2014 272    98    0.1   11.9   12.7   24.1   48.2   0.14   34.6   25.8   30.0   31.8   19.1   30.0   31.8  135.5  399.0   0.00   0.00
 2014 273    99   52.4   11.9   12.7   18.0   36.0   0.35   33.2   22.7   27.7   29.8   16.1   27.7   29.8  135.5  399.0   0.00   0.00
 2014 274   100    4.6   11.9   12.7   15.7   31.4   0.43   33.7   23.2   28.2   30.3   16.6   28.2   30.3  133.0  399.0   0.00   0.00
 2014 275   101    4.4   11.9   12.7   20.3   40.6   0.27   34.9   24.4   29.4   31.5   17.7   29.4   31.5  131.4  399.0   0.00   0.00
 2014 276   102    1.7   11.9   12.7   20.0   40.0   0.28   35.0   25.7   30.1   32.0   18.9   30.1   32.0  131.1  399.0   0.00   0.00
 2014 277   103    0.1   11.9   12.7   20.8   41.6   0.24   33.1   24.6   28.6   30.4   17.8   28.6   30.4  131.6  399.0   0.00   0.00
 2014 278   104    8.2   11.9   12.7   17.3   34.6   0.37   33.5   25.7   29.4   31.0   18.8   29.4   31.0  130.5  399.0   0.00   0.00
 2014 279   105    5.0   11.8   12.7   21.9   43.8   0.20   35.5   26.5   30.8   32.6   19.4   30.8   32.6  129.5  399.0   0.00   0.00
 2014 280   106    0.0   11.8   12.7   17.6   35.2   0.36   35.8   27.5   31.5   33.1   20.3   31.5   33.1  128.8  399.0   0.00   0.00
 2014 281   107    0.0   11.8   12.7   25.1   50.2   0.08   35.0   24.9   29.7   31.7   17.8   29.7   31.7  130.4  399.0   0.00   0.00
 2014 282   108    0.0   11.8   12.6   25.4   50.8   0.06   36.1   25.8   30.7   32.8   18.5   30.7   32.8  129.7  399.0   0.00   0.00
 2014 283   109    0.0   11.8   12.6   23.1   46.2   0.15   35.6   25.7   30.4   32.4   18.4   30.4   32.4  129.0  399.0   0.00   0.00
 2014 284   110    0.0   11.8   12.6   15.9   31.8   0.41   32.9   26.9   29.8   30.9   19.4   29.8   30.9  130.8  399.0   0.00   0.00
 2014 285   111    0.0   11.8   12.6   12.7   25.4   0.53   31.8   26.0   28.8   29.9   18.5   28.8   29.9  131.6  399.0   0.00   0.00
 2014 286   112    2.7   11.8   12.6   20.5   41.0   0.24   37.1   23.9   30.2   32.8   16.4   30.2   32.8  131.9  399.0   0.00   0.00
 2014 287   113    0.0   11.8   12.6   23.5   47.0   0.12   35.7   23.9   29.5   31.9   16.3   29.5   31.9  131.9  399.0   0.00   0.00
 2014 288   114    0.0   11.8   12.6   24.9   49.8   0.07   36.4   26.3   31.1   33.1   18.4   31.1   33.1  132.1  399.2   0.00   0.00
 2014 289   115    0.0   11.7   12.6   23.5   47.0   0.12   35.6   27.5   31.3   33.0   19.5   31.3   33.0  132.7  399.2   0.00   0.00
 2014 290   116    0.0   11.7   12.6   24.0   48.0   0.09   35.6   25.7   30.4   32.4   17.7   30.4   32.4  133.1  399.2   0.00   0.00
 2014 291   117    0.0   11.7   12.6   21.6   43.2   0.18   36.7   22.8   29.4   32.2   14.8   29.4   32.2  132.7  399.2   0.00   0.00
 2014 292   118    0.0   11.7   12.6   19.8   39.6   0.25   35.4   24.2   29.5   31.7   16.0   29.5   31.7  132.5  399.2   0.00   0.00
 2014 293   119    0.0   11.7   12.5   22.4   44.8   0.15   36.7   23.4   29.7   32.3   15.0   29.7   32.3  132.4  399.2   0.00   0.00
 2014 294   120    0.0   11.7   12.5   23.7   47.4   0.09   38.1   23.4   30.4   33.3   14.9   30.4   33.3  131.2  399.2   0.00   0.00
 2014 295   121    0.0   11.7   12.5   23.5   47.0   0.10   39.7   21.7   30.2   33.8   13.0   30.2   33.8  130.0  399.2   0.00   0.00
 2014 296   122    0.0   11.7   12.5   22.7   45.4   0.13   39.2   24.9   31.7   34.5   15.8   31.7   34.5  127.8  399.2   0.00   0.00
 2014 297   123    0.2   11.7   12.5   22.3   44.6   0.14   40.7   24.3   32.1   35.3   15.1   32.1   35.3  125.9  399.2   0.00   0.00
 2014 298   124    0.0   11.7   12.5   21.5   43.0   0.17   40.5   23.3   31.5   34.8   14.1   31.5   34.8  124.8  399.2   0.00   0.00
 2014 299   125    0.0   11.7   12.5   20.0   40.0   0.22   38.6   25.2   31.5   34.2   15.7   31.5   34.2  123.2  399.2   0.00   0.00
 2014 300   126    0.0   11.6   12.5   21.6   43.2   0.16   38.7   24.3   31.1   34.0   14.6   31.1   34.0  122.5  399.2   0.00   0.00
 2014 301   127    0.0   11.6   12.5   22.2   44.4   0.13   39.6   23.2   31.0   34.2   13.2   31.0   34.2  121.8  399.2   0.00   0.00
 2014 302   128    0.0   11.6   12.5   22.3   44.6   0.12   40.1   24.9   32.1   35.1   14.6   32.1   35.1  121.5  399.2   0.00   0.00
 2014 303   129    0.0   11.6   12.5   22.2   44.4   0.13   40.8   22.5   31.2   34.8   12.2   31.2   34.8  120.9  399.2   0.00   0.00
 2014 304   130    0.0   11.6   12.5   22.3   44.6   0.12   38.8   25.4   31.7   34.4   14.7   31.7   34.4  121.2  399.2   0.00   0.00
 2014 305   131    0.0   11.6   12.5   22.7   45.4   0.10   39.5   25.7   32.2   34.9   14.8   32.2   34.9  121.9  399.2   0.00   0.00
 2014 306   132    0.0   11.6   12.4   21.0   42.0   0.17   40.6   23.8   31.7   35.0   12.7   31.7   35.0  122.9  399.2   0.00   0.00
 2014 307   133    0.0   11.6   12.4   19.3   38.6   0.23   40.4   25.3   32.4   35.4   13.7   32.4   35.4  123.6  399.2   0.00   0.00
 2014 308   134    0.3   11.6   12.4   21.1   42.2   0.16   40.7   25.3   32.6   35.6   13.3   32.6   35.6  125.2  399.2   0.00   0.00
 2014 309   135    0.0   11.6   12.4   12.2   24.4   0.51   33.3   26.0   29.5   30.9   13.7   29.5   30.9  126.2  399.2   0.00   0.00
 2014 310   136    5.1   11.6   12.4   15.3   30.6   0.38   35.9   22.3   28.7   31.4   10.0   28.7   31.4  127.3  399.2   0.00   0.00
 2014 311   137    0.0   11.6   12.4   19.1   38.2   0.23   38.7   21.5   29.6   33.0    9.1   29.6   33.0  129.0  399.2   0.00   0.00
 2014 312   138    0.0   11.5   12.4   21.1   42.2   0.14   39.4   20.8   29.6   33.2    8.1   29.6   33.2  130.2  399.2   0.00   0.00
 2014 313   139    0.0   11.5   12.4   19.9   39.8   0.19   39.6   22.6   30.6   34.0    9.3   30.6   34.0  132.3  399.2   0.00   0.00
 2014 314   140    0.0   11.5   12.4   20.8   41.6   0.15   37.3   24.1   30.3   32.9   10.2   30.3   32.9  133.5  399.2   0.00   0.00
 2014 315   141    0.0   11.5   12.4   20.2   40.4   0.17   38.2   24.5   31.0   33.6   10.2   31.0   33.6  134.6  399.2   0.00   0.00
 2014 316   142    0.0   11.5   12.4   20.1   40.2   0.18   37.5   22.8   29.7   32.6    8.4   29.7   32.6  135.2  399.2   0.00   0.00
 2014 317   143    0.0   11.5   12.4   18.0   36.0   0.26   38.8   23.2   30.6   33.6    8.4   30.6   33.6  136.5  399.2   0.00   0.00
 2014 318   144    0.0   11.5   12.4   20.0   40.0   0.17   38.6   22.7   30.2   33.3    7.5   30.2   33.3  137.0  399.2   0.00   0.00
 2014 319   145    0.0   11.5   12.4   20.2   40.4   0.16   39.1   22.3   30.2   33.5    6.8   30.2   33.5  138.1  399.3   0.00   0.00
 2014 320   146    0.0   11.5   12.4   20.0   40.0   0.17   39.0   21.4   29.7   33.1    5.7   29.7   33.1  139.4  399.3   0.00   0.00
 2014 321   147    0.0   11.5   12.4   20.5   41.0   0.15   39.0   21.3   29.6   33.1    5.2   29.6   33.1  138.9  399.3   0.00   0.00
 2014 322   148    0.0   11.5   12.3   20.2   40.4   0.16   38.1   22.4   29.8   32.9    5.8   29.8   32.9  139.0  399.3   0.00   0.00
 2014 323   149    0.0   11.5   12.3   19.1   38.2   0.20   38.0   22.7   29.9   32.9    5.8   29.9   32.9  140.8  399.3   0.00   0.00
 2014 324   150    0.0   11.5   12.3   18.5   37.0   0.22   38.6   22.3   30.0   33.2    5.0   30.0   33.2  141.8  399.3   0.00   0.00
 2014 325   151    0.0   11.5   12.3   19.8   39.6   0.17   37.8   19.2   28.0   31.6    2.1   28.0   31.6  143.1  399.3   0.00   0.00
 2014 326   152    0.0   11.5   12.3   19.9   39.8   0.16   38.7   17.9   27.7   31.7    0.9   27.7   31.7  144.0  399.3   0.00   0.00
 2014 327   153    0.0   11.4   12.3   20.1   40.2   0.15   38.0   18.6   27.7   31.5    1.3   27.7   31.5  143.5  399.3   0.00   0.00
 2014 328   154    0.0   11.4   12.3   18.4   36.8   0.22   37.6   20.5   28.6   31.9    2.8   28.6   31.9  144.0  399.3   0.00   0.00
 2014 329   155    0.0   11.4   12.3   18.1   36.2   0.23   38.5   21.6   29.6   32.8    3.5   29.6   32.8  145.7  399.3   0.00   0.00
 2014 330   156    0.0   11.4   12.3   18.5   37.0   0.21   36.9   19.6   27.7   31.1    1.7   27.7   31.1  145.9  399.3   0.00   0.00
